DateTime,Players
2013-08-13,57349.0
2013-08-14,53862.0
2013-08-15,52044.0
2013-08-16,51446.0
2013-08-17,55232.0
2013-08-18,53971.0
2013-08-19,44822.0
2013-08-20,40531.0
2013-08-21,34901.0
2013-08-22,31757.0
2013-08-23,31792.0
2013-08-24,33798.0
2013-08-25,32634.0
2013-08-26,27080.0
2013-08-27,25377.0
2013-08-28,23968.0
2013-08-29,24494.0
2013-08-30,26017.0
2013-08-31,26017.0
2013-09-01,26789.0
2013-09-02,25472.0
2013-09-03,18036.0
2013-09-04,17613.0
2013-09-05,18283.0
2013-09-06,21222.0
2013-09-07,21976.0
2013-09-08,19921.0
2013-09-09,15725.0
2013-09-10,14615.0
2013-09-11,14615.0
2013-09-12,15231.0
2013-09-13,18785.0
2013-09-14,18467.0
2013-09-15,15751.0
2013-09-16,11715.0
2013-09-17,12959.0
2013-09-18,13074.0
2013-09-19,13375.0
2013-09-20,14984.0
2013-09-21,15195.0
2013-09-22,13100.0
2013-09-23,11175.0
2013-09-24,10215.0
2013-09-25,9917.0
2013-09-26,10919.0
2013-09-27,11996.0
2013-09-28,12773.0
2013-09-29,10714.0
2013-09-30,8722.0
2013-10-01,11033.0
2013-10-02,8887.0
2013-10-03,9722.0
2013-10-04,10793.0
2013-10-05,10642.0
2013-10-06,9752.0
2013-10-07,8013.0
2013-10-08,7548.0
2013-10-09,7249.0
2013-10-10,7635.0
2013-10-11,8651.0
2013-10-12,8813.0
2013-10-13,7646.0
2013-10-14,6813.0
2013-10-15,6620.0
2013-10-16,6220.0
2013-10-17,8876.0
2013-10-18,9924.0
2013-10-19,10446.0
2013-10-20,9301.0
2013-10-21,8064.0
2013-10-22,7370.0
2013-10-23,6958.0
2013-10-24,7394.0
2013-10-25,7874.0
2013-10-26,7928.0
2013-10-27,7397.0
2013-10-28,6294.0
2013-10-29,6098.0
2013-10-30,10576.0
2013-10-31,11276.0
2013-11-01,15145.0
2013-11-02,8498.0
2013-11-03,8194.0
2013-11-04,5768.0
2013-11-05,4858.0
2013-11-06,4529.0
2013-11-07,4914.0
2013-11-08,5584.0
2013-11-09,5635.0
2013-11-10,5181.0
2013-11-11,4501.0
