DateTime,Players
2020-11-10,7093
2020-11-11,7768
2020-11-12,7273
2020-11-13,7371
2020-11-14,9148
2020-11-15,9535
2020-11-16,8391
2020-11-17,7177
2020-11-18,6955
2020-11-19,6726
2020-11-20,6796
2020-11-21,8227
2020-11-22,8012
2020-11-23,6895
2020-11-24,5272
2020-11-25,5180
2020-11-26,5430
2020-11-27,5404
2020-11-28,5913
2020-11-29,5893
2020-11-30,5098
2020-12-01,4064
2020-12-02,3953
2020-12-03,3748
2020-12-04,3758
2020-12-05,4725
2020-12-06,4748
2020-12-07,4103
2020-12-08,3372
2020-12-09,2886
2020-12-10,2252
2020-12-11,2245
2020-12-12,2981
2020-12-13,2941
2020-12-14,2567
2020-12-15,2170
2020-12-16,2099
2020-12-17,1968
2020-12-18,1994
2020-12-19,2520
2020-12-20,2532
2020-12-21,2284
2020-12-22,2090
2020-12-23,2352
2020-12-24,2690
2020-12-25,3408
2020-12-26,4027
2020-12-27,4350
2020-12-28,4103
2020-12-29,3754
2020-12-30,3670
2020-12-31,3586
2021-01-01,4407
2021-01-02,4415
2021-01-03,4422
2021-01-04,4041
2021-01-05,3383
2021-01-06,3216
2021-01-07,3006
2021-01-08,2977
2021-01-09,3450
2021-01-10,3632
2021-01-11,3166
2021-01-12,2494
2021-01-13,2341
2021-01-14,2270
2021-01-15,2243
2021-01-16,2802
2021-01-17,2805
2021-01-18,2525
2021-01-19,2222
2021-01-20,1944
2021-01-21,1846
2021-01-22,1851
2021-01-23,2413
2021-01-24,2377
2021-01-25,2031
2021-01-26,1673
2021-01-27,1563
2021-01-28,1531
2021-01-29,1602
2021-01-30,2053
2021-01-31,2048
2021-02-01,1817
2021-02-02,1516
2021-02-03,1354
2021-02-04,1321
2021-02-05,1322
2021-02-06,1677
2021-02-07,1706
2021-02-08,1352
