DateTime,Players
2019-02-19,3474
2019-02-20,2838
2019-02-21,2617
2019-02-22,2436
2019-02-23,2782
2019-02-24,2651
2019-02-25,1839
2019-02-26,1705
2019-02-27,1540
2019-02-28,1402
2019-03-01,1326
2019-03-02,1679
2019-03-03,1588
2019-03-04,1097
2019-03-05,1012
2019-03-06,929
2019-03-07,907
2019-03-08,839
2019-03-09,1061
2019-03-10,1056
2019-03-11,679
2019-03-12,625
2019-03-13,566
2019-03-14,563
2019-03-15,591
2019-03-16,711
2019-03-17,748
2019-03-18,484
2019-03-19,466
2019-03-20,451
2019-03-21,422
2019-03-22,406
2019-03-23,536
2019-03-24,554
2019-03-25,334
2019-03-26,327
2019-03-27,316
2019-03-28,311
2019-03-29,301
2019-03-30,417
2019-03-31,433
2019-04-01,312
2019-04-02,291
2019-04-03,292
2019-04-04,303
2019-04-05,303
2019-04-06,383
2019-04-07,378
2019-04-08,288
2019-04-09,251
2019-04-10,237
2019-04-11,294
2019-04-12,390
2019-04-13,543
2019-04-14,557
2019-04-15,393
2019-04-16,395
2019-04-17,362
2019-04-18,381
2019-04-19,472
2019-04-20,494
2019-04-21,512
2019-04-22,405
2019-04-23,329
2019-04-24,312
2019-04-25,323
2019-04-26,328
2019-04-27,411
2019-04-28,441
2019-04-29,322
2019-04-30,325
2019-05-01,371
2019-05-02,296
2019-05-03,330
2019-05-04,387
2019-05-05,421
2019-05-06,312
2019-05-07,320
2019-05-08,307
2019-05-09,339
2019-05-10,371
2019-05-11,487
2019-05-12,522
2019-05-13,353
2019-05-14,328
2019-05-15,319
2019-05-16,321
2019-05-17,312
2019-05-18,402
2019-05-19,402
2019-05-20,295
