DateTime,Players
2015-06-23,27405
2015-06-24,25836
2015-06-25,23194
2015-06-26,18475
2015-06-27,17789
2015-06-28,19420
2015-06-29,16564
2015-06-30,12480
2015-07-01,10719
2015-07-02,9934
2015-07-03,9788
2015-07-04,9300
2015-07-05,10332
2015-07-06,8693
2015-07-07,7219
2015-07-08,6826
2015-07-09,6517
2015-07-10,5887
2015-07-11,6591
2015-07-12,7224
2015-07-13,5965
2015-07-14,5190
2015-07-15,4847
2015-07-16,4494
2015-07-17,4140
2015-07-18,4729
2015-07-19,5205
2015-07-20,4174
2015-07-21,3574
2015-07-22,3436
2015-07-23,3226
2015-07-24,3219
2015-07-25,3633
2015-07-26,3964
2015-07-27,3115
2015-07-28,2864
2015-07-29,2531
2015-07-30,2477
2015-07-31,2366
2015-08-01,2650
2015-08-02,3097
2015-08-03,2423
2015-08-04,2255
2015-08-05,2069
2015-08-06,1921
2015-08-07,1872
2015-08-08,2178
2015-08-09,2413
2015-08-10,1929
2015-08-11,1775
2015-08-12,1660
2015-08-13,1588
2015-08-14,1528
2015-08-15,1843
2015-08-16,2075
2015-08-17,1726
2015-08-18,1628
2015-08-19,1564
2015-08-20,1425
2015-08-21,1442
2015-08-22,1630
2015-08-23,1815
2015-08-24,1430
2015-08-25,1359
2015-08-26,1247
2015-08-27,1265
2015-08-28,1219
2015-08-29,1377
2015-08-30,1538
2015-08-31,1295
2015-09-01,1138
2015-09-02,1165
2015-09-03,1183
2015-09-04,3290
2015-09-05,3502
2015-09-06,3798
2015-09-07,3657
2015-09-08,2853
2015-09-09,2431
2015-09-10,2373
2015-09-11,2267
2015-09-12,2693
2015-09-13,2990
2015-09-14,2328
2015-09-15,2026
2015-09-16,1936
2015-09-17,1841
2015-09-18,1914
2015-09-19,2286
2015-09-20,2460
2015-09-21,1838
