DateTime,Players
2021-01-28,2065
2021-01-29,2420
2021-01-30,2740
2021-01-31,2677
2021-02-01,1975
2021-02-02,1823
2021-02-03,1584
2021-02-04,1429
2021-02-05,1388
2021-02-06,1693
2021-02-07,1503
2021-02-08,1076
2021-02-09,1014
2021-02-10,946
2021-02-11,868
2021-02-12,951
2021-02-13,1063
2021-02-14,1047
2021-02-15,762
2021-02-16,701
2021-02-17,599
2021-02-18,606
2021-02-19,607
2021-02-20,730
2021-02-21,726
2021-02-22,569
2021-02-23,469
2021-02-24,440
2021-02-25,422
2021-02-26,449
2021-02-27,576
2021-02-28,583
2021-03-01,422
2021-03-02,386
2021-03-03,359
2021-03-04,345
2021-03-05,360
2021-03-06,474
2021-03-07,487
2021-03-08,335
2021-03-09,354
2021-03-10,339
2021-03-11,330
2021-03-12,324
2021-03-13,458
2021-03-14,432
2021-03-15,348
2021-03-16,293
2021-03-17,266
2021-03-18,262
2021-03-19,301
2021-03-20,321
2021-03-21,341
2021-03-22,264
2021-03-23,262
2021-03-24,247
2021-03-25,275
2021-03-26,339
2021-03-27,470
2021-03-28,434
2021-03-29,381
2021-03-30,322
2021-03-31,292
2021-04-01,308
2021-04-02,350
2021-04-03,383
2021-04-04,400
2021-04-05,385
2021-04-06,302
2021-04-07,286
2021-04-08,278
2021-04-09,277
2021-04-10,349
2021-04-11,361
2021-04-12,254
2021-04-13,241
2021-04-14,243
2021-04-15,243
2021-04-16,244
2021-04-17,308
2021-04-18,309
2021-04-19,231
2021-04-20,218
2021-04-21,202
2021-04-22,203
2021-04-23,209
2021-04-24,272
2021-04-25,293
2021-04-26,201
2021-04-27,195
2021-04-28,196
