DateTime,Players
2020-09-24,3407
2020-09-25,34976
2020-09-26,36679
2020-09-27,33053
2020-09-28,22859
2020-09-29,18467
2020-09-30,15170
2020-10-01,13648
2020-10-02,11743
2020-10-03,12585
2020-10-04,12523
2020-10-05,9108
2020-10-06,7816
2020-10-07,6710
2020-10-08,6409
2020-10-09,6104
2020-10-10,6897
2020-10-11,7068
2020-10-12,5346
2020-10-13,4506
2020-10-14,4298
2020-10-15,3696
2020-10-16,3654
2020-10-17,4232
2020-10-18,4302
2020-10-19,2980
2020-10-20,2692
2020-10-21,2490
2020-10-22,2319
2020-10-23,2366
2020-10-24,2823
2020-10-25,2965
2020-10-26,2124
2020-10-27,1924
2020-10-28,1893
2020-10-29,1764
2020-10-30,1710
2020-10-31,2005
2020-11-01,2285
2020-11-02,1542
2020-11-03,1475
2020-11-04,1379
2020-11-05,1293
2020-11-06,1381
2020-11-07,1658
2020-11-08,1771
2020-11-09,1269
2020-11-10,1130
2020-11-11,1094
2020-11-12,1096
2020-11-13,1070
2020-11-14,1328
2020-11-15,1364
2020-11-16,1006
2020-11-17,937
2020-11-18,883
2020-11-19,856
2020-11-20,876
2020-11-21,1198
2020-11-22,1244
2020-11-23,935
2020-11-24,854
2020-11-25,914
2020-11-26,1448
2020-11-27,1880
2020-11-28,2411
2020-11-29,2622
2020-11-30,2009
2020-12-01,1901
2020-12-02,1620
2020-12-03,1420
2020-12-04,1416
2020-12-05,1718
2020-12-06,1703
2020-12-07,1164
2020-12-08,1031
2020-12-09,922
2020-12-10,787
2020-12-11,788
2020-12-12,989
2020-12-13,1017
2020-12-14,748
2020-12-15,719
2020-12-16,684
2020-12-17,666
2020-12-18,738
2020-12-19,890
2020-12-20,895
2020-12-21,742
2020-12-22,774
2020-12-23,1046
