DateTime,Players
2016-11-11,20217.0
2016-11-12,22308.0
2016-11-13,22139.0
2016-11-14,16245.0
2016-11-15,13425.0
2016-11-16,11593.0
2016-11-17,10583.0
2016-11-18,10485.0
2016-11-19,12914.0
2016-11-20,13400.0
2016-11-21,9293.0
2016-11-22,8209.0
2016-11-23,8841.0
2016-11-24,8694.0
2016-11-25,8539.0
2016-11-26,9451.0
2016-11-27,9903.0
2016-11-28,7024.0
2016-11-29,6283.0
2016-11-30,5635.0
2016-12-01,5258.0
2016-12-02,5623.0
2016-12-03,7289.0
2016-12-04,7913.0
2016-12-05,5477.0
2016-12-06,4925.0
2016-12-07,4624.0
2016-12-08,4295.0
2016-12-09,4328.0
2016-12-10,5640.0
2016-12-11,5973.0
2016-12-12,4153.0
2016-12-13,3537.0
2016-12-14,3529.0
2016-12-15,3479.0
2016-12-16,3519.0
2016-12-17,4617.0
2016-12-18,4997.0
2016-12-19,3990.0
2016-12-20,3795.0
2016-12-21,3678.0
2016-12-22,3599.0
2016-12-23,3757.0
2016-12-24,4739.0
2016-12-25,6540.0
2016-12-26,8013.0
2016-12-27,7616.0
2016-12-28,7325.0
2016-12-29,7036.0
2016-12-30,6917.0
2016-12-31,6554.0
2017-01-01,8158.0
2017-01-02,8119.0
2017-01-03,6762.0
2017-01-04,5705.0
2017-01-05,5183.0
2017-01-06,4937.0
2017-01-07,6105.0
2017-01-08,6245.0
2017-01-09,3928.0
2017-01-10,3697.0
2017-01-11,3425.0
2017-01-12,3282.0
2017-01-13,3386.0
2017-01-14,4450.0
2017-01-15,4892.0
2017-01-16,3777.0
2017-01-17,3045.0
2017-01-18,3076.0
2017-01-19,2765.0
2017-01-20,2889.0
2017-01-21,3837.0
2017-01-22,4240.0
2017-01-23,2871.0
2017-01-24,2538.0
2017-01-25,2502.0
2017-01-26,2351.0
2017-01-27,2461.0
2017-01-28,3348.0
2017-01-29,3819.0
2017-01-30,2545.0
2017-01-31,2380.0
2017-02-01,2074.0
2017-02-02,2142.0
2017-02-03,2122.0
2017-02-04,3017.0
2017-02-05,3399.0
2017-02-06,2222.0
2017-02-07,2077.0
2017-02-08,1970.0
2017-02-09,1960.0
