DateTime,Players
2022-02-24,559624
2022-02-25,764835
2022-02-26,861538
2022-02-27,891638
2022-02-28,819143
2022-03-01,828001
2022-03-02,823527
2022-03-03,820921
2022-03-04,858316
2022-03-05,953426
2022-03-06,944190
2022-03-07,801048
2022-03-08,779297
2022-03-09,738122
2022-03-10,703725
2022-03-11,730458
2022-03-12,825277
2022-03-13,800301
2022-03-14,635680
2022-03-15,610847
2022-03-16,589570
2022-03-17,587284
2022-03-18,611562
2022-03-19,712336
2022-03-20,694446
2022-03-21,529881
2022-03-22,507115
2022-03-23,464532
2022-03-24,468107
2022-03-25,480052
2022-03-26,563389
2022-03-27,546667
2022-03-28,414946
2022-03-29,399484
2022-03-30,378861
2022-03-31,368498
2022-04-01,375625
2022-04-02,455103
2022-04-03,457182
2022-04-04,339322
2022-04-05,317968
2022-04-06,300169
2022-04-07,287677
2022-04-08,305294
2022-04-09,367780
2022-04-10,349862
2022-04-11,258031
2022-04-12,245836
2022-04-13,234880
2022-04-14,234557
2022-04-15,269911
2022-04-16,282119
2022-04-17,266656
2022-04-18,239831
2022-04-19,198248
2022-04-20,202328
2022-04-21,196417
2022-04-22,205469
2022-04-23,238625
2022-04-24,237493
2022-04-25,172305
2022-04-26,161863
2022-04-27,151887
2022-04-28,147793
2022-04-29,156014
2022-04-30,190421
2022-05-01,193468
2022-05-02,148370
2022-05-03,139215
2022-05-04,126122
2022-05-05,122864
2022-05-06,126523
2022-05-07,158782
2022-05-08,152245
2022-05-09,110981
2022-05-10,107748
2022-05-11,102381
2022-05-12,99343
2022-05-13,106998
2022-05-14,128222
2022-05-15,127344
2022-05-16,92721
2022-05-17,88789
2022-05-18,86217
2022-05-19,83155
2022-05-20,89290
2022-05-21,108490
2022-05-22,106427
2022-05-23,81727
2022-05-24,75594
2022-05-25,73972
