DateTime,Players
2011-11-14,6560.0
2011-11-15,7615.0
2011-11-16,7132.0
2011-11-17,7917.0
2011-11-18,9135.0
2011-11-19,9129.0
2011-11-20,8219.0
2011-11-21,6230.0
2011-11-22,5566.0
2011-11-23,5472.0
2011-11-24,5113.0
2011-11-25,4981.0
2011-11-26,4803.0
2011-11-27,4462.0
2011-11-28,3628.0
2011-11-29,3533.0
2011-11-30,3447.0
2011-12-01,3322.0
2011-12-02,4491.0
2011-12-03,4465.0
2011-12-04,4298.0
2011-12-05,3923.0
2011-12-06,3923.0
2011-12-07,3258.0
2011-12-08,3507.0
2011-12-09,4472.0
2011-12-10,4550.0
2011-12-11,4308.0
2011-12-12,3103.0
2011-12-13,3049.0
2011-12-14,2690.0
2011-12-15,2774.0
2011-12-16,3554.0
2011-12-17,3457.0
2011-12-18,3134.0
2011-12-19,2705.0
2011-12-20,2861.0
2011-12-21,2880.0
2011-12-22,3047.0
2011-12-23,4781.0
2011-12-24,6010.0
2011-12-25,6838.0
2011-12-26,6869.0
2011-12-27,6569.0
2011-12-28,5973.0
2011-12-29,5404.0
2011-12-30,5480.0
2011-12-31,4845.0
2012-01-01,5887.0
2012-01-02,5963.0
2012-01-03,5022.0
2012-01-04,4351.0
2012-01-05,4339.0
2012-01-06,5137.0
2012-01-07,5053.0
2012-01-08,4548.0
2012-01-09,3411.0
2012-01-10,3168.0
2012-01-11,3121.0
2012-01-12,3469.0
2012-01-13,4251.0
2012-01-14,4157.0
2012-01-15,3652.0
2012-01-16,3218.0
2012-01-17,3004.0
2012-01-18,3004.0
2012-01-19,3004.0
2012-01-20,3004.0
2012-01-21,3004.0
2012-01-22,3004.0
2012-01-23,3004.0
2012-01-24,2593.0
2012-01-25,2664.0
2012-01-26,2949.0
2012-01-27,3595.0
2012-01-28,3516.0
2012-01-29,3146.0
2012-01-30,2550.0
2012-01-31,2485.0
2012-02-01,2396.0
2012-02-02,2648.0
2012-02-03,3289.0
2012-02-04,3176.0
2012-02-05,2799.0
2012-02-06,2179.0
2012-02-07,2098.0
2012-02-08,2048.0
2012-02-09,2280.0
2012-02-10,2844.0
2012-02-11,2731.0
2012-02-12,2078.0
