DateTime,Players
2019-12-05,11876
2019-12-06,28491
2019-12-07,37375
2019-12-08,41301
2019-12-09,34794
2019-12-10,33914
2019-12-11,32678
2019-12-12,31021
2019-12-13,33061
2019-12-14,47236
2019-12-15,51403
2019-12-16,41372
2019-12-17,39159
2019-12-18,37468
2019-12-19,36561
2019-12-20,38594
2019-12-21,47021
2019-12-22,50553
2019-12-23,46390
2019-12-24,45354
2019-12-25,46290
2019-12-26,49160
2019-12-27,49673
2019-12-28,54068
2019-12-29,55271
2019-12-30,49688
2019-12-31,47260
2020-01-01,50967
2020-01-02,48547
2020-01-03,48403
2020-01-04,51252
2020-01-05,49734
2020-01-06,41566
2020-01-07,37669
2020-01-08,36380
2020-01-09,33844
2020-01-10,32738
2020-01-11,39185
2020-01-12,39630
2020-01-13,29073
2020-01-14,27559
2020-01-15,27020
2020-01-16,24888
2020-01-17,25649
2020-01-18,31172
2020-01-19,32118
2020-01-20,23947
2020-01-21,22977
2020-01-22,22288
2020-01-23,22376
2020-01-24,23755
2020-01-25,32814
2020-01-26,39134
2020-01-27,32910
2020-01-28,34879
2020-01-29,36463
2020-01-30,37007
2020-01-31,38788
2020-02-01,45698
2020-02-02,50091
2020-02-03,42405
2020-02-04,41984
2020-02-05,42001
2020-02-06,41785
2020-02-07,42009
2020-02-08,46273
2020-02-09,47138
2020-02-10,37247
2020-02-11,35288
2020-02-12,34681
2020-02-13,33056
2020-02-14,32688
2020-02-15,37524
2020-02-16,38389
2020-02-17,30334
2020-02-18,28947
2020-02-19,28138
2020-02-20,26936
2020-02-21,27599
2020-02-22,31436
2020-02-23,32240
2020-02-24,26561
2020-02-25,25147
2020-02-26,24665
2020-02-27,23894
2020-02-28,23953
2020-02-29,28014
2020-03-01,28463
2020-03-02,22401
2020-03-03,21394
2020-03-04,21184
