recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
4911345,76561198043203242,Catwoman is very sexy ;) <3,1354391633,1388461669,1,0.5,238,238,1354521600,"{""recommendationid"": ""4911345"", ""author"": {""steamid"": ""76561198043203242"", ""num_games_owned"": 645, ""num_reviews"": 8, ""playtime_forever"": 238, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 238, ""last_played"": 1354521600}, ""language"": ""english"", ""review"": ""Catwoman is very sexy ;) <3"", ""timestamp_created"": 1354391633, ""timestamp_updated"": 1388461669, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
4115426,76561198032305083,"This edition contains all the epicness from the original title, as well as all DLCs (Catwoman/NightWing/Robin), all skin packs, and the final chapter of the series : Quinn's Revenge. I was also expecting a free copy of Batman Year One movie but later got to know it was not for PC  :(",1354279534,1354279534,1,0.5,3049,1714,1480568576,"{""recommendationid"": ""4115426"", ""author"": {""steamid"": ""76561198032305083"", ""num_games_owned"": 0, ""num_reviews"": 2, ""playtime_forever"": 3049, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1714, ""last_played"": 1480568576}, ""language"": ""english"", ""review"": ""This edition contains all the epicness from the original title, as well as all DLCs (Catwoman/NightWing/Robin), all skin packs, and the final chapter of the series : Quinn's Revenge. I was also expecting a free copy of Batman Year One movie but later got to know it was not for PC  :("", ""timestamp_created"": 1354279534, ""timestamp_updated"": 1354279534, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
2019852,76561198001035459,Amazing Sequel to an already amazing game. Beware of Games for Windows Live though!,1354267596,1354267596,1,0.5,1254,1179,1403549203,"{""recommendationid"": ""2019852"", ""author"": {""steamid"": ""76561198001035459"", ""num_games_owned"": 443, ""num_reviews"": 5, ""playtime_forever"": 1254, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1179, ""last_played"": 1403549203}, ""language"": ""english"", ""review"": ""Amazing Sequel to an already amazing game. Beware of Games for Windows Live though!"", ""timestamp_created"": 1354267596, ""timestamp_updated"": 1354267596, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6757811,76561198074327841,DO NOT INSTALL THIS GAME. It force installs Peer to Peer (P2P) software and Microsoft Live junk software on your system. The P2P software is a magnet for viruses and spyware. NOT WORTH THE RISK or MONEY!!,1354266448,1401673089,0,0.4168637692928314,131,131,1354262400,"{""recommendationid"": ""6757811"", ""author"": {""steamid"": ""76561198074327841"", ""num_games_owned"": 0, ""num_reviews"": 39, ""playtime_forever"": 131, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 131, ""last_played"": 1354262400}, ""language"": ""english"", ""review"": ""DO NOT INSTALL THIS GAME. It force installs Peer to Peer (P2P) software and Microsoft Live junk software on your system. The P2P software is a magnet for viruses and spyware. NOT WORTH THE RISK or MONEY!!"", ""timestamp_created"": 1354266448, ""timestamp_updated"": 1401673089, ""voted_up"": false, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.416863769292831421"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
4016878,76561198030763165,I'm Batman!,1354248505,1354248505,1,0.5,48,48,1361174400,"{""recommendationid"": ""4016878"", ""author"": {""steamid"": ""76561198030763165"", ""num_games_owned"": 1804, ""num_reviews"": 6, ""playtime_forever"": 48, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 48, ""last_played"": 1361174400}, ""language"": ""english"", ""review"": ""I'm Batman!"", ""timestamp_created"": 1354248505, ""timestamp_updated"": 1354248505, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
5515391,76561198051120888,"Браво Rocksteady!!! Б-Р-А-В-О!!! Играя в Arkham Asylum, я даже и подумать не мог, что Arkham City будет такой шикарной! Это просто нечто! Зуб даю, данная игра станет классикой для подростающей молодежи! В игре есть абсолютно все, что нужно истинному фанату Бэтмана! Куча персонажей, отличный сюжет, настоящая библиотека вселенной, файтинг на высоте, озвучка - ""Шик и Блеск"". Грех не назвать данную игру лучшей из лучших! (10+ из 10)
P.S.: Берите и вы ни за что не пожалеете!",1354201844,1354201844,1,0.5010920166969299,3007,581,1436710662,"{""recommendationid"": ""5515391"", ""author"": {""steamid"": ""76561198051120888"", ""num_games_owned"": 0, ""num_reviews"": 36, ""playtime_forever"": 3007, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 581, ""last_played"": 1436710662}, ""language"": ""english"", ""review"": ""Браво Rocksteady!!! Б-Р-А-В-О!!! Играя в Arkham Asylum, я даже и подумать не мог, что Arkham City будет такой шикарной! Это просто нечто! Зуб даю, данная игра станет классикой для подростающей молодежи! В игре есть абсолютно все, что нужно истинному фанату Бэтмана! Куча персонажей, отличный сюжет, настоящая библиотека вселенной, файтинг на высоте, озвучка - \""Шик и Блеск\"". Грех не назвать данную игру лучшей из лучших! (10+ из 10)\nP.S.: Берите и вы ни за что не пожалеете!"", ""timestamp_created"": 1354201844, ""timestamp_updated"": 1354201844, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.501092016696929932"", ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
4918493,76561198043305988,Soooo much prettier than on 360 and PS3. :),1354163088,1354163088,1,0.5,25584,8120,1593638659,"{""recommendationid"": ""4918493"", ""author"": {""steamid"": ""76561198043305988"", ""num_games_owned"": 195, ""num_reviews"": 7, ""playtime_forever"": 25584, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 8120, ""last_played"": 1593638659}, ""language"": ""english"", ""review"": ""Soooo much prettier than on 360 and PS3. :)"", ""timestamp_created"": 1354163088, ""timestamp_updated"": 1354163088, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
6337886,76561198064106802,"Un juego enorme,divertido con muchos secretos por descubrir",1354158923,1354158923,1,0.5,327,287,1436843959,"{""recommendationid"": ""6337886"", ""author"": {""steamid"": ""76561198064106802"", ""num_games_owned"": 0, ""num_reviews"": 33, ""playtime_forever"": 327, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 287, ""last_played"": 1436843959}, ""language"": ""english"", ""review"": ""Un juego enorme,divertido con muchos secretos por descubrir"", ""timestamp_created"": 1354158923, ""timestamp_updated"": 1354158923, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
1036532,76561197984983772,Great game!,1354141374,1354141374,1,0.5,1210,505,1435695218,"{""recommendationid"": ""1036532"", ""author"": {""steamid"": ""76561197984983772"", ""num_games_owned"": 0, ""num_reviews"": 6, ""playtime_forever"": 1210, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 505, ""last_played"": 1435695218}, ""language"": ""english"", ""review"": ""Great game!"", ""timestamp_created"": 1354141374, ""timestamp_updated"": 1354141374, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
3107688,76561198017562702,"Is it a bird, is it a plane? No Fool, its BATMAN.

If you ever wondered how would it feel like to glide between buildings, kick in a few faces or just beeing The Bat- this is the game that will show it to you :)

Very nice combat, very good controll, nice story. IMHO don`t bother about the DLC`s :P",1354097436,1354097436,1,0.523809552192688,3176,3065,1499288048,"{""recommendationid"": ""3107688"", ""author"": {""steamid"": ""76561198017562702"", ""num_games_owned"": 911, ""num_reviews"": 79, ""playtime_forever"": 3176, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 3065, ""last_played"": 1499288048}, ""language"": ""english"", ""review"": ""Is it a bird, is it a plane? No Fool, its BATMAN.\n\nIf you ever wondered how would it feel like to glide between buildings, kick in a few faces or just beeing The Bat- this is the game that will show it to you :)\n\nVery nice combat, very good controll, nice story. IMHO don`t bother about the DLC`s :P"", ""timestamp_created"": 1354097436, ""timestamp_updated"": 1354097436, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.523809552192687988"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
3227066,76561198019180473,"Убрали Games for Windows Live, а с ним заодно и все сохранения, все рекорды на аренах и тд. Конченные жадные выблядки",1354082748,1561376023,0,0.54356849193573,1801,1522,1430246972,"{""recommendationid"": ""3227066"", ""author"": {""steamid"": ""76561198019180473"", ""num_games_owned"": 360, ""num_reviews"": 92, ""playtime_forever"": 1801, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1522, ""last_played"": 1430246972}, ""language"": ""english"", ""review"": ""Убрали Games for Windows Live, а с ним заодно и все сохранения, все рекорды на аренах и тд. Конченные жадные выблядки"", ""timestamp_created"": 1354082748, ""timestamp_updated"": 1561376023, ""voted_up"": false, ""votes_up"": 2, ""votes_funny"": 0, ""weighted_vote_score"": ""0.54356849193572998"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
