name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher
Yakuza Kiwami,yakuza_kiwami,834530,2019-02-19,16889.0,44658.0,93.0,26.53973139880423,697740.0,7634468.0,1125754.0,2708307.0,3474.0,2019-02-19 00:00:00,694.9560439560439,1688.9,4465.8,69774.0,Ryu Ga Gotoku Studio,SEGA
Yakuza Kiwami 2,yakuza_kiwami_2,927380,2019-05-09,13416.0,35286.0,95.0,31.51714420132793,746244.0,10367588.0,841179.0,2316657.0,3229.0,2019-05-11 00:00:00,695.7362637362637,1341.6000000000001,3528.6000000000004,74624.40000000001,Ryu Ga Gotoku Studio,SEGA
Far Cry New Dawn,far_cry_new_dawn,939960,2019-02-15,30526.0,79601.0,75.0,20.146134930709128,1692824.0,22339418.0,1767285.0,2854489.0,16975.0,2019-02-16 00:00:00,3260.879120879121,3052.6000000000004,7960.1,169282.40000000002,Ubisoft Montreal,Ubisoft
Mafia II: Definitive Edition,mafia_ii_definitive_edition,1030830,2020-05-19,24914.0,20571.0,73.0,10.311287321174076,1524750.0,17285279.0,2754285.0,10156616.0,6162.0,2020-05-21 00:00:00,1304.032967032967,2491.4,2057.1,152475.0,Hangar 13,2K
Mafia: Definitive Edition,mafia_definitive_edition,1030840,2020-09-24,80779.0,132745.0,87.0,10.989716667673566,3978941.0,40530648.0,4421089.0,6859508.0,36679.0,2020-09-26 00:00:00,4295.571428571428,8077.900000000001,13274.5,397894.10000000003,Hangar 13,2K
Baldur's Gate 3,baldur_s_gate_3,1086940,2023-08-03,710402.0,969484.0,97.0,111.34823728927229,15467620.0,757775419.0,16448816.0,19741939.0,875343.0,2023-08-13 00:00:00,394901.2637362637,71040.2,96948.40000000001,1546762.0,Larian Studios,Larian Studios
Yakuza 3 Remastered,yakuza_3_remastered,1088710,2021-01-28,7401.0,9339.0,81.0,22.97357876241707,387446.0,3678366.0,490933.0,1801698.0,2740.0,2021-01-30 00:00:00,605.1098901098901,740.1,933.9000000000001,38744.6,Ryu Ga Gotoku Studio,SEGA
Cyberpunk 2077,cyberpunk_2077,1091500,2020-12-09,802148.0,1537739.0,86.0,70.96305282827068,21629634.0,747166173.0,22796751.0,25951273.0,1054388.0,2020-12-10 00:00:00,177197.97802197802,80214.8,153773.9,2162963.4,CD PROJEKT RED,CD PROJEKT RED
Yakuza 4 Remastered,yakuza_4_remastered,1105500,2021-01-28,5245.0,7403.0,91.0,27.989438438869193,294756.0,2373802.0,395788.0,1077762.0,913.0,2021-02-07 00:00:00,437.05494505494505,524.5,740.3000000000001,29475.600000000002,Ryu Ga Gotoku Studio,SEGA
Yakuza 5 Remastered,yakuza_5_remastered,1105510,2021-01-28,5751.0,8742.0,89.0,47.146099885209054,286701.0,2270154.0,310851.0,999765.0,852.0,2021-02-21 00:00:00,557.0439560439561,575.1,874.2,28670.100000000002,Ryu Ga Gotoku Studio,SEGA
Persona 4 Golden,persona_4_golden,1113000,2020-06-13,67678.0,97577.0,97.0,43.768361670309815,1960224.0,29863046.0,2147623.0,2788183.0,29984.0,2020-06-14 00:00:00,10198.615384615385,6767.8,9757.7,196022.40000000002,ATLUS,SEGA
Apex Legends,apex_legends,1172470,2020-11-04,1022219.0,579077.0,67.0,101.81352967426436,73694704.0,1546921888.0695066,73694704.0,98227924.0,184170.0,2021-02-03 00:00:00,105105.3956043956,102221.90000000001,57907.700000000004,7369470.4,Respawn,Electronic Arts
Red Dead Redemption 2,red_dead_redemption_2,1174180,2019-12-05,746064.0,919755.0,92.0,64.38389210033658,20940181.0,440701304.0,21800242.0,26114839.0,55271.0,2019-12-29 00:00:00,36168.42857142857,74606.40000000001,91975.5,2094018.1,Rockstar Games,Rockstar Games
Yakuza: Like a Dragon,yakuza_like_a_dragon,1235140,2020-11-10,26183.0,69374.0,94.0,40.20595148828066,1282068.0,32358948.0,1467470.0,2182391.0,9535.0,2020-11-15 00:00:00,3717.703296703297,2618.3,6937.400000000001,128206.8,Ryu Ga Gotoku Studio,SEGA
Titanfall 2,titanfall_2,1237970,2020-06-18,238014.0,223009.0,96.0,13.25011430833632,12450603.0,61788518.0,13191054.0,18056394.0,13603.0,2020-06-28 00:00:00,4553.076923076923,23801.4,22300.9,1245060.3,Respawn Entertainment,Electronic Arts
Battlefield V,battlefield_v,1238810,2020-10-22,226805.0,314502.0,71.0,37.06459808082744,16205074.0,113567958.0,17287880.0,23367292.0,7241.0,2021-01-02 00:00:00,4335.186813186813,22680.5,31450.2,1620507.4000000001,DICE,Electronic Arts
ELDEN RING,elden_ring,1245620,2022-02-24,792809.0,1118627.0,93.0,112.4930024492786,18815268.0,755530459.0,21846361.0,24315726.0,953426.0,2022-03-05 00:00:00,381871.4065934066,79280.90000000001,111862.70000000001,1881526.8,"FromSoftware, Inc.","FromSoftware, Inc."
Yakuza 6: The Song of Life,yakuza_6_the_song_of_life,1388590,2021-03-25,6472.0,17020.0,93.0,23.899406001968487,334894.0,3346941.0,363133.0,1061732.0,1635.0,2021-03-28 00:00:00,536.2857142857143,647.2,1702.0,33489.4,Ryu Ga Gotoku Studio,SEGA
Crysis 2 Remastered,crysis_2_remastered,2096600,2022-11-17,7456.0,12647.0,89.0,7.528626949530323,354509.0,4668271.0,361524.0,1097797.0,863.0,2022-11-27 00:00:00,303.989010989011,745.6,1264.7,35450.9,Crytek,Crytek
Crysis 3 Remastered,crysis_3_remastered,2096610,2022-11-17,6406.0,19059.0,88.0,6.755099780110891,351316.0,4766998.0,358619.0,1204593.0,492.0,2022-11-20 00:00:00,236.9450549450549,640.6,1905.9,35131.6,Crytek,Crytek
Assassin's Creed Valhalla,assassin_s_creed_valhalla,2208920,2022-12-06,31964.0,77795.0,70.0,40.90163625297305,1551676.0,25663577.0,1608137.0,2471896.0,15679.0,2022-12-18 00:00:00,6131.087912087912,3196.4,7779.5,155167.6,Ubisoft Montreal,Ubisoft
Immortals Fenyx Rising,immortals_fenyx_rising,2221920,2022-12-15,4154.0,16237.0,73.0,23.480692990482503,317241.0,2352817.0,321870.0,587762.0,909.0,2022-12-22 00:00:00,343.1868131868132,415.40000000000003,1623.7,31724.100000000002,Ubisoft,Ubisoft
Tom Clancy's Ghost Recon Breakpoint,tom_clancy_s_ghost_recon_breakpoint,2231380,2023-01-23,34816.0,65158.0,73.0,22.87983542787217,2327201.0,24266726.0,2411745.0,3256537.0,9145.0,2023-01-29 00:00:00,2902.4065934065934,3481.6000000000004,6515.8,232720.1,Ubisoft Paris,Ubisoft
Watch Dogs: Legion,watch_dogs_legion,2239550,2023-01-26,10568.0,26299.0,57.0,15.311768587609698,594137.0,5321699.0,610378.0,1195671.0,5048.0,2023-01-29 00:00:00,943.4065934065934,1056.8,2629.9,59413.700000000004,Ubisoft Toronto,Ubisoft
Far Cry 6,far_cry_6,2369390,2023-05-11,28434.0,54719.0,71.0,27.104166409792775,1487422.0,20489129.0,1536221.0,1536221.0,20080.0,2023-05-21 00:00:00,6426.351648351649,2843.4,5471.900000000001,148742.2,Ubisoft Toronto,Ubisoft
