appid,name,slug,release_date,review_score,avg_playtime,players,avg_concurrent_players_after_90,estimated_launch_reviews,estimated_launch_followers,estimated_launch_copies_sold,developer,publisher,avg_sentiment,is_singleplayer,price,is_vet_dev,is_successful,is_sequel,is_q4_release,is_free
1288320,Way of the Hunter,way_of_the_hunter,2022-08-16,80.0,50.0,2862.0,1442.7866666666666,1384.0,3903.9,40446.3,Nine Rocks Games,THQ Nordic,0.4941855,True,39.99,0,1.0,0,0,0
224760,FEZ,fez,2013-05-01,93.0,8.0,97.0,0.0,3242.0,2377.7000000000003,154654.2,Polytron Corporation,Trapdoor,0.5224796875,True,2.49,0,0.0,0,0,0
299740,Miscreated,miscreated,2018-12-18,66.0,151.0,31.0,52.66666666666666,584.0,19622.7,124045.1,Entrada Interactive LLC,Entrada Interactive LLC,0.1424078431372549,True,24.99,0,0.0,0,1,0
591460,Parkasaurus,parkasaurus,2020-08-12,93.0,26.0,218.0,103.95,181.0,2681.9,14948.9,Washbear Studio,Washbear Studio,0.6948,True,19.99,0,1.0,0,0,0
495420,State of Decay 2: Juggernaut Edition,state_of_decay_2_juggernaut_edition,2020-03-13,83.0,58.0,7995.0,4783.08,5682.0,14182.7,384021.1,Undead Labs,Xbox Game Studios,0.3447952,True,29.99,0,1.0,1,0,0
1227780,Taur,taur,2020-02-19,80.0,14.0,319.0,137.54666666666668,323.0,1650.7,6664.0,Echo Entertainment,Echo Entertainment,0.5823894736842106,True,22.49,0,1.0,0,0,0
1229240,Chained Echoes,chained_echoes,2022-12-08,89.0,35.0,1561.0,953.49,1372.0,4541.3,30413.7,Umami Tiger (Matthias Linda),Deck13,0.5027303,True,24.99,0,1.0,0,1,0
872410,ROMANCE OF THE THREE KINGDOMS XIV,romance_of_the_three_kingdoms_xiv,2020-01-15,63.0,219.0,7641.0,5964.126666666667,3535.0,6920.1,53753.100000000006,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.395040909090909,True,53.99,0,1.0,0,0,0
1843760,Rogue Tower,rogue_tower,2022-01-28,82.0,1.0,2228.0,1611.8000000000002,302.0,2061.4,41998.7,Die of Death Games,Die of Death Games,0.5090515151515151,True,14.99,0,1.0,0,0,0
991560,ONE PUNCH MAN: A HERO NOBODY KNOWS,one_punch_man_a_hero_nobody_knows,2020-02-27,52.0,11.0,63.0,27.55,172.0,1268.8000000000002,6818.3,Spike Chunsoft Co. Ltd.,BANDAI NAMCO Entertainment,0.41781875,False,59.99,0,0.0,1,0,0
1889040,Birth,birth,2023-02-17,96.0,1.0,51.0,30.42,26.0,640.3000000000001,9453.5,Madison Karrh,Madison Karrh,0.6677620689655173,True,9.89,0,0.0,0,0,0
841190,"Honey, I Joined a Cult",honey_i_joined_a_cult,2022-11-03,73.0,22.0,341.0,171.33666666666667,277.0,2843.0,16428.7,Sole Survivor Games,Team17,0.4159093023255814,True,21.99,0,1.0,0,1,0
872670,SCP: 5K,scp_5k,2022-02-22,80.0,18.0,90.0,55.07666666666666,224.0,9431.2,78456.90000000001,Affray Interactive,Affray Interactive,0.4620147,True,19.99,0,0.0,1,0,0
389170,Songs for a Hero - Definitive Edition,songs_for_a_hero__definitive_edition,2016-03-24,96.0,1.0,165.0,86.60333333333334,52.0,866.9000000000001,7046.5,Dumativa,Dumativa,0.0,False,15.99,0,0.0,0,0,0
516750,My Summer Car,my_summer_car,2025-01-07,95.0,42.0,917.0,1050.2733333333333,1003.0,13755.4,221512.3,Amistech Games,Amistech Games,0.1263574,True,13.49,0,1.0,0,0,0
621830,WRC 7 FIA World Rally Championship,wrc_7_fia_world_rally_championship,2017-09-15,81.0,18.0,64.0,67.12,153.0,2786.4,41916.3,KT Racing,Nacon,0.6756609756097561,True,39.99,0,0.0,0,0,0
285500,Hard Truck Apocalypse / Ex Machina,hard_truck_apocalypse__ex_machina,2014-03-14,84.0,23.0,9.0,19.786666666666665,291.0,390.8,14716.0,Targem Games,ESDigital Games,0.4939153846153846,True,1.99,0,0.0,0,0,0
1477070,Depersonalization,depersonalization,2024-08-07,93.0,31.0,275.0,362.92,1575.0,4219.8,17534.4,MeowNature,Gamirror Games,0.664,False,17.99,0,1.0,0,0,0
6860,Hitman: Blood Money,hitman_blood_money,2007-03-15,94.0,12.0,98.0,202.93666666666664,1202.0,1509.6,56565.7,Io-Interactive A/S,Io-Interactive A/S,0.4898357,True,4.49,0,1.0,1,0,0
108710,Alan Wake,alan_wake,2012-02-16,90.0,13.0,210.0,444.49,6283.0,4794.0,297470.8,Remedy Entertainment,Remedy Entertainment,0.3450514999999999,True,11.99,0,1.0,0,0,0
1987080,Inside the Backrooms,inside_the_backrooms,2022-06-20,81.0,16.0,26.0,1574.6333333333332,48.0,7322.8,407638.7,MrFatcat,MrFatcat,0.0426461,False,4.99,0,1.0,0,0,0
46560,Robin Hood: The Legend of Sherwood,robin_hood_the_legend_of_sherwood,2011-08-26,66.0,15.0,5.0,2.356666666666667,167.0,374.9,6288.8,Spellbound,Microids,0.4118,True,1.59,0,0.0,1,0,0
1221250,NORCO,norco,2022-03-24,93.0,6.0,39.0,29.30333333333333,71.0,1311.5,10827.6,Geography of Robots,Raw Fury,0.6496157894736843,True,14.99,0,0.0,0,0,0
1970980,Warlord: Britannia,warlord_britannia,2022-05-24,88.0,20.0,206.0,123.74,214.0,1055.4,6283.700000000001,Darkmatter Games,Darkmatter Games,0.1161838709677419,True,19.99,0,1.0,1,0,0
598810,Carcassonne - Tiles & Tactics,carcassonne__tiles__tactics,2017-11-29,85.0,35.0,1.0,11.953333333333331,5.0,844.1,21404.7,Artefacts Studio,Twin Sails Interactive,0.6039102564102564,True,9.99,0,0.0,0,1,0
892970,Valheim,valheim,2021-02-02,94.0,1.0,210300.0,152701.56666666668,103433.0,50728.3,1687119.8,Iron Gate AB,Coffee Stain Publishing,0.5926702,True,19.99,0,1.0,0,0,0
1250,Killing Floor,killing_floor,2009-05-14,95.0,88.0,2432.0,2565.726666666667,20609.0,11330.5,685816.2000000001,Tripwire Interactive,Tripwire Interactive,0.3704128,True,9.99,0,1.0,0,0,0
435530,The Final Station,the_final_station,2016-08-30,87.0,7.0,28.0,1.2333333333333334,210.0,4256.6,44181.4,DO MY BEST,tinyBuild,0.6091612244897959,True,11.99,0,0.0,0,0,0
244030,Take On Mars,take_on_mars,2017-02-09,55.0,30.0,20.0,41.88666666666666,210.0,2347.9,12124.7,Bohemia Interactive,Bohemia Interactive,0.3593714285714285,True,15.29,0,0.0,0,0,0
266010,LYNE,lyne,2014-03-17,96.0,16.0,71.0,31.096666666666668,1243.0,843.9000000000001,52143.8,Thomas Bowker,Thomas Bowker,0.54065,True,0.89,0,0.0,0,0,0
220,Half-Life 2,half_life_2,2007-10-10,98.0,11.98331051755778,15034483.0,1630.2564102564102,18886.7,10020.3,1298987.1,Valve,Valve,0.4532322000000003,True,4.99,1,1.0,1,1,0
320,Half-Life 2: Deathmatch,half_life_2_deathmatch,2004-11-01,91.0,8.395212073735065,4586291.0,1517.7179487179487,983.8,974.2,458629.1,Valve,Valve,0.1951701000000002,True,2.49,1,1.0,1,1,0
360,Half-Life Deathmatch: Source,half_life_deathmatch_source,2006-05-01,75.0,3.0287331058873863,1329268.0,31.0,412.1,692.7,26366.9,Valve,Valve,0.4094766666666666,True,4.99,1,0.0,1,0,0
550,Left 4 Dead 2,left_4_dead_2,2009-11-16,98.0,31.895562821482905,76002320.0,16186.0,76689.8,125325.3,6710284.9,Valve,Valve,0.415016900000001,True,9.99,1,1.0,1,1,0
730,Counter-Strike 2,counter_strike_2,2012-08-21,86.0,203.23448748949485,328468834.0,24538.01098901099,920727.5,460888.3000000001,32846883.4,Valve,Valve,0.1920673999999997,False,7.49,1,1.0,1,0,0
7670,BioShock,bioshock,2007-08-21,94.0,6.269295988195109,3849180.0,84.23076923076923,2449.3,3466.5,183809.9,2K Boston,2K,0.4718042999999972,True,4.99,1,0.0,0,0,0
