name,slug,appid,release_date,total_reviews,followers,review_score,avg_playtime,copies_sold,revenue,players,owners,peak_concurrent_players_after_90,peak_concurrent_players_timestamp,avg_concurrent_players_after_90
Far Cry New Dawn,far_cry_new_dawn,939960,2019-02-15,30520.0,79598.0,75.0,20.156447044077304,1689720.0,22297261.0,1764008.0,2849196.0,16975.0,2019-02-16 00:00:00,3260.879120879121
Mafia II: Definitive Edition,mafia_ii_definitive_edition,1030830,2020-05-19,24894.0,20564.0,73.0,10.30559995969219,1527110.0,17308316.0,2749313.0,10138280.0,6162.0,2020-05-21 00:00:00,1304.032967032967
Mafia: Definitive Edition,mafia_definitive_edition,1030840,2020-09-24,80741.0,132724.0,87.0,10.990315296028433,3976898.0,40501499.0,4418926.0,6856152.0,36679.0,2020-09-26 00:00:00,4295.571428571428
Baldur's Gate 3,baldur_s_gate_3,1086940,2023-08-03,710284.0,969274.0,97.0,111.2433335892071,15470097.0,757892374.0,16451383.0,19745020.0,875343.0,2023-08-13 00:00:00,394901.26373626373
Yakuza 3 Remastered,yakuza_3_remastered,1088710,2021-01-28,7399.0,9334.0,81.0,22.95229999484748,387135.0,3669982.0,489363.0,1795937.0,2740.0,2021-01-30 00:00:00,605.1098901098901
Cyberpunk 2077,cyberpunk_2077,1091500,2020-12-09,801862.0,1537437.0,86.0,71.03806367366079,21615064.0,747089808.0,22781632.0,25934061.0,1054388.0,2020-12-10 00:00:00,177197.97802197802
Yakuza 4 Remastered,yakuza_4_remastered,1105500,2021-01-28,5243.0,7402.0,91.0,27.99075058079092,294344.0,2369086.0,395768.0,1077707.0,913.0,2021-02-07 00:00:00,437.05494505494505
Yakuza 5 Remastered,yakuza_5_remastered,1105510,2021-01-28,5750.0,8742.0,89.0,47.10749140566804,286703.0,2268919.0,310858.0,999785.0,852.0,2021-02-21 00:00:00,557.0439560439561
Persona 4 Golden,persona_4_golden,1113000,2020-06-13,67651.0,97575.0,97.0,43.74880622436018,1958378.0,29833386.0,2145633.0,2785599.0,29984.0,2020-06-14 00:00:00,10198.615384615385
Apex Legends,apex_legends,1172470,2020-11-04,1022099.0,578998.0,67.0,102.0136420664572,73547798.0,1546891795.561283,73547798.0,98032113.0,184170.0,2021-02-03 00:00:00,105105.3956043956
Red Dead Redemption 2,red_dead_redemption_2,1174180,2019-12-05,745603.0,919545.0,92.0,64.43040784868953,20926456.0,440343662.0,21786140.0,26097946.0,55271.0,2019-12-29 00:00:00,36168.42857142857
Yakuza: Like a Dragon,yakuza_like_a_dragon,1235140,2020-11-10,26174.0,69364.0,94.0,40.19496032333504,1275560.0,32192741.0,1460075.0,2171394.0,9535.0,2020-11-15 00:00:00,3717.703296703297
Titanfall 2,titanfall_2,1237970,2020-06-18,237944.0,222956.0,96.0,13.267246457108245,12445156.0,61751283.0,13185303.0,18048522.0,13603.0,2020-06-28 00:00:00,4553.076923076923
Battlefield V,battlefield_v,1238810,2020-10-22,226795.0,314476.0,71.0,37.13987062946604,16196295.0,113490162.0,17278434.0,23354525.0,7241.0,2021-01-02 00:00:00,4335.186813186813
ELDEN RING,elden_ring,1245620,2022-02-24,792720.0,1118431.0,93.0,112.45380828864604,18814769.0,755482315.0,21845599.0,24314879.0,953426.0,2022-03-05 00:00:00,381871.4065934066
Yakuza 6: The Song of Life,yakuza_6_the_song_of_life,1388590,2021-03-25,6470.0,17018.0,93.0,23.8818695239964,335014.0,3347811.0,363228.0,1062010.0,1635.0,2021-03-28 00:00:00,536.2857142857143
Crysis 2 Remastered,crysis_2_remastered,2096600,2022-11-17,7455.0,12647.0,89.0,7.600502672387794,352546.0,4641998.0,359500.0,1091652.0,863.0,2022-11-27 00:00:00,303.989010989011
Crysis 3 Remastered,crysis_3_remastered,2096610,2022-11-17,6405.0,19057.0,88.0,6.797980336550548,350004.0,4748932.0,357281.0,1200098.0,492.0,2022-11-20 00:00:00,236.94505494505495
Assassin's Creed Valhalla,assassin_s_creed_valhalla,2208920,2022-12-06,31953.0,77770.0,70.0,41.25555244650977,1526026.0,25248533.0,1581151.0,2430416.0,15679.0,2022-12-18 00:00:00,6131.087912087912
Immortals Fenyx Rising,immortals_fenyx_rising,2221920,2022-12-15,4154.0,16231.0,73.0,23.40370882919037,317109.0,2351856.0,321772.0,587584.0,909.0,2022-12-22 00:00:00,343.1868131868132
Tom Clancy's Ghost Recon Breakpoint,tom_clancy_s_ghost_recon_breakpoint,2231380,2023-01-23,34776.0,65098.0,73.0,22.874578409540227,2328702.0,24337220.0,2413177.0,3258470.0,9145.0,2023-01-29 00:00:00,2902.4065934065934
Watch Dogs: Legion,watch_dogs_legion,2239550,2023-01-26,10567.0,26294.0,57.0,15.328367661212813,593875.0,5318893.0,610110.0,1195148.0,5048.0,2023-01-29 00:00:00,943.4065934065934
Far Cry 6,far_cry_6,2369390,2023-05-11,28418.0,54699.0,71.0,27.148422167592425,1490107.0,20538698.0,1538997.0,1538997.0,20080.0,2023-05-21 00:00:00,6426.351648351649
