recommendationid,steamid,review,timestamp_created,timestamp_updated,voted_up,weighted_vote_score,playtime_forever,playtime_at_review,last_played,raw_json
98184715,76561199013695670,marcus is an avid danny brown fan,1629860300,1657306198,1,0.4761904776096344,2497,593,1639409976,"{""recommendationid"": ""98184715"", ""author"": {""steamid"": ""76561199013695670"", ""num_games_owned"": 93, ""num_reviews"": 38, ""playtime_forever"": 2497, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 593, ""last_played"": 1639409976}, ""language"": ""english"", ""review"": ""marcus is an avid danny brown fan"", ""timestamp_created"": 1629860300, ""timestamp_updated"": 1657306198, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": ""0.476190477609634399"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98184801,76561198406190223,"good game 10/10 
",1629860448,1629860448,1,0.5,1748,972,1631058273,"{""recommendationid"": ""98184801"", ""author"": {""steamid"": ""76561198406190223"", ""num_games_owned"": 0, ""num_reviews"": 3, ""playtime_forever"": 1748, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 972, ""last_played"": 1631058273}, ""language"": ""english"", ""review"": ""good game 10/10 \n"", ""timestamp_created"": 1629860448, ""timestamp_updated"": 1629860448, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98192502,76561198973562158,草他马的FBI,1629873944,1629873944,1,0.5,2351,1287,1726295477,"{""recommendationid"": ""98192502"", ""author"": {""steamid"": ""76561198973562158"", ""num_games_owned"": 221, ""num_reviews"": 31, ""playtime_forever"": 2351, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1287, ""last_played"": 1726295477}, ""language"": ""schinese"", ""review"": ""草他马的FBI"", ""timestamp_created"": 1629873944, ""timestamp_updated"": 1629873944, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98193313,76561198283592026,好游戏,1629875463,1629875463,1,0.5,2594,2508,1686064408,"{""recommendationid"": ""98193313"", ""author"": {""steamid"": ""76561198283592026"", ""num_games_owned"": 352, ""num_reviews"": 49, ""playtime_forever"": 2594, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 2508, ""last_played"": 1686064408}, ""language"": ""schinese"", ""review"": ""好游戏"", ""timestamp_created"": 1629875463, ""timestamp_updated"": 1629875463, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98196743,76561198345049474,"挺不错的游戏，遇到的人都带着我玩
不知道能不不能加好友。",1629881669,1629881669,1,0.5092838406562805,3951,736,1630110459,"{""recommendationid"": ""98196743"", ""author"": {""steamid"": ""76561198345049474"", ""num_games_owned"": 32, ""num_reviews"": 2, ""playtime_forever"": 3951, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 736, ""last_played"": 1630110459}, ""language"": ""schinese"", ""review"": ""挺不错的游戏，遇到的人都带着我玩\n不知道能不不能加好友。"", ""timestamp_created"": 1629881669, ""timestamp_updated"": 1629881669, ""voted_up"": true, ""votes_up"": 1, ""votes_funny"": 0, ""weighted_vote_score"": ""0.509283840656280518"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98198104,76561199015128491,Хорошая игра сюжет очень затягивает также очень хорошо что можно играть по сети как с другими игроками так и со своими друзьями.,1629884008,1629884008,1,0.5,3291,3176,1660925192,"{""recommendationid"": ""98198104"", ""author"": {""steamid"": ""76561199015128491"", ""num_games_owned"": 11, ""num_reviews"": 1, ""playtime_forever"": 3291, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 3176, ""last_played"": 1660925192}, ""language"": ""russian"", ""review"": ""Хорошая игра сюжет очень затягивает также очень хорошо что можно играть по сети как с другими игроками так и со своими друзьями."", ""timestamp_created"": 1629884008, ""timestamp_updated"": 1629884008, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98200992,76561198361543111,太棒了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！除了育碧的土豆服务器,1629888615,1629888615,1,0.5,2164,480,1691315385,"{""recommendationid"": ""98200992"", ""author"": {""steamid"": ""76561198361543111"", ""num_games_owned"": 26, ""num_reviews"": 4, ""playtime_forever"": 2164, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 480, ""last_played"": 1691315385}, ""language"": ""schinese"", ""review"": ""太棒了！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！除了育碧的土豆服务器"", ""timestamp_created"": 1629888615, ""timestamp_updated"": 1629888615, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": false, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98207964,76561198243911424,"Вот эти ваши молодежные ""Йоу"", ""бич"", ""улет"" и т.д. не одобряю",1629897966,1629897966,0,0.49257028102874756,484,484,1559825091,"{""recommendationid"": ""98207964"", ""author"": {""steamid"": ""76561198243911424"", ""num_games_owned"": 0, ""num_reviews"": 8, ""playtime_forever"": 484, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 484, ""last_played"": 1559825091}, ""language"": ""russian"", ""review"": ""Вот эти ваши молодежные \""Йоу\"", \""бич\"", \""улет\"" и т.д. не одобряю"", ""timestamp_created"": 1629897966, ""timestamp_updated"": 1629897966, ""voted_up"": false, ""votes_up"": 2, ""votes_funny"": 2, ""weighted_vote_score"": ""0.492570281028747559"", ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98219672,76561198872352201,damn,1629912507,1629912507,1,0.5,4227,4208,1630690725,"{""recommendationid"": ""98219672"", ""author"": {""steamid"": ""76561198872352201"", ""num_games_owned"": 62, ""num_reviews"": 12, ""playtime_forever"": 4227, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 4208, ""last_played"": 1630690725}, ""language"": ""english"", ""review"": ""damn"", ""timestamp_created"": 1629912507, ""timestamp_updated"": 1629912507, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 0, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
98219720,76561198295445518,zaebis igra,1629912569,1629912569,1,0.5,2114,1933,1683317030,"{""recommendationid"": ""98219720"", ""author"": {""steamid"": ""76561198295445518"", ""num_games_owned"": 17, ""num_reviews"": 4, ""playtime_forever"": 2114, ""playtime_last_two_weeks"": 0, ""playtime_at_review"": 1933, ""last_played"": 1683317030}, ""language"": ""russian"", ""review"": ""zaebis igra"", ""timestamp_created"": 1629912569, ""timestamp_updated"": 1629912569, ""voted_up"": true, ""votes_up"": 0, ""votes_funny"": 1, ""weighted_vote_score"": 0.5, ""comment_count"": 0, ""steam_purchase"": true, ""received_for_free"": false, ""written_during_early_access"": false, ""primarily_steam_deck"": false}"
