timestamp,player_count
1672531200000,4997
1675209600000,2778
1677628800000,1674
1680307200000,632
1682899200000,281
1685577600000,2872
1688169600000,1294
1690848000000,986
1693526400000,860
1696118400000,344
1698796800000,1915
1701388800000,698
1704067200000,1084
1706745600000,807
1709251200000,640
1711929600000,305
1714521600000,984
1717200000000,1108
1719792000000,1185
1722470400000,745
1725148800000,701
1727740800000,583
1730419200000,445
1733011200000,509
1735689600000,518
1738368000000,349
1740787200000,737
1743465600000,291
1746057600000,448
1748736000000,642
1751328000000,432
1754006400000,792
1756684800000,933
1756857600000,217
1756944000000,209
1757030400000,229
1757116800000,257
1757203200000,277
1757289600000,231
1757376000000,215
1757462400000,229
1757548800000,199
1757635200000,206
1757721600000,250
1757808000000,253
1757894400000,374
1757980800000,531
1758067200000,608
1758153600000,707
1758240000000,707
1758326400000,783
1758412800000,933
1758499200000,704
1758585600000,623
1758672000000,525
1758758400000,455
1758844800000,451
1758931200000,475
1759017600000,473
1759104000000,379
1759190400000,434
1759276800000,463
1759363200000,511
1759449600000,515
1759536000000,616
1759622400000,692
1759708800000,567
1759795200000,483
1759881600000,487
1759968000000,458
1760054400000,380
1760140800000,446
1760227200000,436
1760313600000,342
1760400000000,305
1760486400000,297
1760572800000,277
1760659200000,255
1760745600000,359
1760832000000,351
1760918400000,259
1761004800000,244
1761091200000,248
1761177600000,235
1761264000000,235
1761350400000,273
1761436800000,263
1761523200000,219
1761609600000,218
1761696000000,199
1761782400000,189
1761868800000,206
1761955200000,256
1761977958000,137
1761981669000,159
1761985306000,163
1761988866000,177
1761992287000,184
1761995989000,206
1761999645000,238
1762003036000,240
1762006641000,250
1762010218000,256
1762014039000,231
1762017509000,208
1762021133000,216
1762024764000,201
1762028326000,184
1762032121000,174
1762035552000,173
1762039195000,131
1762042748000,126
1762046403000,148
1762049980000,152
1762053579000,151
1762057150000,136
1762060789000,131
1762064354000,169
1762068092000,178
1762071716000,156
1762075231000,187
1762078905000,197
1762082339000,206
1762085996000,219
1762089621000,237
1762093134000,241
1762096734000,234
1762100402000,259
1762103911000,251
1762107609000,211
1762111122000,215
1762114751000,200
1762118340000,172
1762122009000,152
1762125555000,135
1762129209000,117
1762132759000,111
1762136301000,110
1762140052000,108
1762142770000,102
1762147119000,103
1762150726000,109
1762154321000,116
1762158167000,117
1762161675000,135
1762165345000,130
1762168954000,144
1762172640000,168
1762175960000,188
1762179600000,195
1762183184000,169
1762186778000,167
1762190365000,172
1762194007000,195
1762197628000,177
1762201189000,185
1762204789000,153
1762208493000,125
1762212019000,108
1762215654000,89
1762219252000,100
1762222796000,93
1762226324000,83
1762230051000,82
1762233565000,103
1762237170000,109
1762240792000,107
1762244320000,114
1762248277000,119
1762251738000,134
1762255459000,162
1762258899000,177
1762262462000,200
1762265964000,219
1762269439000,212
1762273078000,183
1762276791000,179
1762280319000,182
1762283982000,180
1762287584000,158
1762291124000,146
1762294842000,131
1762298401000,109
1762301952000,93
1762305584000,71
1762309158000,80
1762312764000,91
1762316380000,92
1762319983000,97
1762323583000,101
1762327151000,107
1762330936000,119
1762334526000,122
1762338099000,126
1762341665000,144
1762345180000,159
1762348764000,184
1762352381000,190
1762355893000,188
1762359475000,181
1762363172000,157
1762366839000,179
1762370386000,148
1762373996000,134
1762377610000,120
1762381150000,112
1762384782000,93
1762388404000,93
1762391996000,93
1762395644000,105
1762399242000,101
1762402734000,88
1762406360000,82
1762410022000,86
1762413757000,97
1762417423000,108
1762421141000,115
1762424580000,118
1762428150000,128
1762431740000,145
1762435410000,190
1762438590000,191
1762442352000,173
1762445986000,182
1762449552000,182
1762453151000,154
1762455933000,156
1762460488000,141
1762463964000,124
1762467585000,110
1762471324000,99
1762474837000,81
1762478404000,91
1762482056000,97
1762485614000,87
1762489159000,93
1762492696000,98
1762496543000,102
1762500118000,107
1762503890000,120
1762507445000,135
